"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 24 23:39:57 BDT 2022","Sun Jul 24 23:40:18 BDT 2022","21613","Default Suite","Automation","testCase.TestCase0001","testCase.TestCase0001","registration","Perform registration process for new users and Sign Out",""
"broken","Mon Jul 25 12:04:43 BDT 2022","Mon Jul 25 12:04:43 BDT 2022","15","All Test Suite","C:/Users/HP/IdeaProjects/Automation","testCase.TestCase0002","testCase.TestCase0002","SignIn","Sign in into account and take necessary actions",""
"passed","Thu Jul 28 12:28:47 BDT 2022","Thu Jul 28 12:29:10 BDT 2022","22420","Default Suite","Automation","testCase.TestCase0001","testCase.TestCase0001","registration","Perform registration process for new users and Sign Out",""
"passed","Mon Jul 25 11:43:29 BDT 2022","Mon Jul 25 11:44:10 BDT 2022","41329","Default Suite","Automation","testCase.TestCase0001","testCase.TestCase0001","registration","Perform registration process for new users and Sign Out",""
"passed","Thu Jul 28 12:10:52 BDT 2022","Thu Jul 28 12:12:19 BDT 2022","86277","Default Suite","Automation","testCase.TestCase0002","testCase.TestCase0002","SignIn","Sign in into account and take necessary actions",""
"passed","Mon Jul 25 11:25:38 BDT 2022","Mon Jul 25 11:26:02 BDT 2022","24081","Default Suite","Automation","testCase.TestCase0001","testCase.TestCase0001","registration","Perform registration process for new users and Sign Out",""
"broken","Sun Jul 24 23:17:09 BDT 2022","Sun Jul 24 23:17:23 BDT 2022","14378","Default Suite","Automation","testCase.TestCase0001","testCase.TestCase0001","registration","Perform registration process for new users and Sign Out",""
"passed","Thu Jul 28 12:25:29 BDT 2022","Thu Jul 28 12:25:55 BDT 2022","25673","Default Suite","Automation","testCase.TestCase0001","testCase.TestCase0001","registration","Perform registration process for new users and Sign Out",""
"passed","Sun Jul 24 23:24:57 BDT 2022","Sun Jul 24 23:25:33 BDT 2022","36342","Default Suite","Automation","testCase.TestCase0001","testCase.TestCase0001","registration","Perform registration process for new users and Sign Out",""
"passed","Mon Jul 25 11:33:26 BDT 2022","Mon Jul 25 11:33:45 BDT 2022","18127","Default Suite","Automation","testCase.TestCase0001","testCase.TestCase0001","registration","Perform registration process for new users and Sign Out",""
"broken","Sun Jul 24 22:58:27 BDT 2022","Sun Jul 24 22:58:43 BDT 2022","15719","Default Suite","Automation","testCase.TestCase0001","testCase.TestCase0001","registration","Perform registration process for new users and Sign Out",""
"broken","Sun Jul 24 23:40:20 BDT 2022","Sun Jul 24 23:40:20 BDT 2022","46","Default Suite","Automation","testCase.TestCase0001","testCase.TestCase0001","registration","Perform registration process for new users and Sign Out",""
"broken","Thu Jul 28 11:21:42 BDT 2022","Thu Jul 28 11:21:43 BDT 2022","20","Default Suite","Automation","testCase.TestCase0002","testCase.TestCase0002","setup","setup",""
"passed","Mon Jul 25 12:06:33 BDT 2022","Mon Jul 25 12:07:08 BDT 2022","35246","All Test Suite","C:/Users/HP/IdeaProjects/Automation","testCase.TestCase0001","testCase.TestCase0001","registration","Perform registration process for new users and Sign Out",""
"broken","Mon Jul 25 12:04:20 BDT 2022","Mon Jul 25 12:04:41 BDT 2022","20734","All Test Suite","C:/Users/HP/IdeaProjects/Automation","testCase.TestCase0001","testCase.TestCase0001","registration","Perform registration process for new users and Sign Out",""
"broken","Thu Jul 28 12:25:58 BDT 2022","Thu Jul 28 12:25:58 BDT 2022","21","Default Suite","Automation","testCase.TestCase0001","testCase.TestCase0001","registration","Perform registration process for new users and Sign Out",""
"passed","Sun Jul 24 23:42:25 BDT 2022","Sun Jul 24 23:42:53 BDT 2022","27964","Default Suite","Automation","testCase.TestCase0001","testCase.TestCase0001","registration","Perform registration process for new users and Sign Out",""
"broken","Mon Jul 25 11:44:12 BDT 2022","Mon Jul 25 11:44:12 BDT 2022","46","Default Suite","Automation","testCase.TestCase0001","testCase.TestCase0001","registration","Perform registration process for new users and Sign Out",""
"broken","Sun Jul 24 23:18:13 BDT 2022","Sun Jul 24 23:18:43 BDT 2022","30529","Default Suite","Automation","testCase.TestCase0001","testCase.TestCase0001","registration","Perform registration process for new users and Sign Out",""
